Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.08239953961211,47.0,5.136360412654595
1961-01-01,1.08239953961211,47.0,5.136360412654595
1962-01-01,1.08239953961211,47.0,5.136360412654595
1963-01-01,1.08239953961211,47.0,5.136360412654595
1964-01-01,1.08239953961211,47.0,5.136360412654595
1965-01-01,1.08239953961211,47.0,5.136360412654595
1966-01-01,1.08239953961211,47.0,5.136360412654595
1967-01-01,1.08239953961211,47.0,5.136360412654595
1968-01-01,1.08239953961211,47.0,5.136360412654595
1969-01-01,1.08239953961211,47.0,5.136360412654595
1970-01-01,1.08239953961211,47.0,5.136360412654595
1971-01-01,1.08239953961211,47.0,4.85621441966231
1972-01-01,1.08239953961211,47.0,4.336524429646811
1973-01-01,1.08239953961211,47.0,4.1223985287056895
1974-01-01,1.08239953961211,47.0,3.4787467706509014
1975-01-01,1.08239953961211,47.0,3.475844143643381
1976-01-01,1.08239953961211,47.0,3.5458620458954972
1977-01-01,1.08239953961211,47.0,3.5861388361964535
1978-01-01,1.08239953961211,47.0,3.553352341796192
1979-01-01,1.08239953961211,47.0,3.571922125020415
1980-01-01,1.08239953961211,47.0,3.5482004256320883
1981-01-01,1.08239953961211,47.0,3.6365506234190383
1982-01-01,1.08239953961211,47.0,3.6111239219665174
1983-01-01,1.08239953961211,47.0,3.2150694633750447
1984-01-01,1.08239953961211,47.0,3.1022082091416
1985-01-01,1.08239953961211,47.0,3.1732435152431666
1986-01-01,1.08239953961211,47.0,3.022202433448356
1987-01-01,1.08239953961211,47.0,3.190546496033863
1988-01-01,1.08239953961211,47.0,3.287480352763868
1989-01-01,1.08239953961211,47.0,3.359400288379484
1990-01-01,1.08239953961211,47.0,3.4064629039314958
1991-01-01,1.082399539611542,46.7,3.495978082715259
1992-01-01,1.082399539610974,46.4,3.9454824520445277
1993-01-01,1.082399539610406,46.1,3.846383802259825
1994-01-01,1.082399539609838,45.5,3.7060993467748173
1995-01-01,1.08239953960927,45.2,3.666538784100636
1996-01-01,1.082399539608702,43.9,3.7446547942742483
1997-01-01,1.082399539608134,43.8,3.833814538677381
1998-01-01,1.082399539607566,46.0,3.8859216915839854
1999-01-01,1.082399539606998,43.9,4.050481213739791
2000-01-01,1.08239953960643,44.4,3.4961569823079994
2001-01-01,1.0823995396066421,44.2,3.5483581955830314
2002-01-01,1.082399539606854,42.1,3.62108407229096
2003-01-01,1.082399539607066,40.2,3.6361287430684577
2004-01-01,1.082399539607278,38.6,3.5506075301952404
2005-01-01,1.0823995396074901,38.8,3.5448760980980643
2006-01-01,1.082399539607702,39.1,3.67642667056005
2007-01-01,1.082399539607914,35.6,3.4982520540345337
2008-01-01,1.082399539608126,35.8,3.3361616627435504
2009-01-01,1.0823995396083381,33.4,3.3987750757509327
2010-01-01,1.08239953960855,34.0,3.360990160617995
2011-01-01,1.082399539608762,33.3,3.367295580606547
2012-01-01,1.082399539608974,31.9,3.4086167745315468
2013-01-01,1.0823995396091861,35.1,3.3149292588365533
2014-01-01,1.082399539609398,31.0,3.392218399101575
2015-01-01,1.08239953960961,28.3,3.380342560273568
2016-01-01,1.08239953960961,31.7,3.260097434161957
2017-01-01,1.08239953960961,25.5,3.4513371016007217
2018-01-01,1.08239953960961,21.6,3.423715645557481
2019-01-01,1.08239953960961,21.2,3.5093609519691085
2020-01-01,1.08239953960961,20.9,3.4791835275995404
2021-01-01,1.08239953960961,22.1,3.4075669173033956
2022-01-01,1.08239953960961,19.6,3.371579959705778
2023-01-01,1.08239953960961,19.6,3.2871068072278002
2024-01-01,1.08239953960961,19.6,3.2871068072278002
